"Orth","Phon"
"å","ɒ"
"ā","aː"
"ȧ","ɐ"
"ă","ɐ"
"ä","ɛ"
"ǟ","ɛː"
"b","b"
"c","t͡s"
"č","t͡ʃ"
"d","d"
"dz","d͡z"
"dzs","d͡ʒ"
"e","ɛ"
"ë","e"
"ē","eː"
"f","f"
"g","ɡ"
"dʹ","ɟ"
"h","h"
"i","i"
"ī","iː"
"ï","ɯ"
"ǰ","d͡ʒʲ"
"y","j"
"k","k"
"l","l"
"ly","j"
"lʹ","j"
"m","m"
"n","n"
"ń","ɲ"
"ŋ","ŋ"
"o","o"
"ō","oː"
"ö","ø"
"ȫ","øː"
"p","p"
"qu","kv"
"r","r"
"š","ʃ"
"sz","s"
"s","s"
"t","t"
"ty","c"
"u","u"
"ū","uː"
"u̯","w"
"ü̯","w"
"ü","y"
"ǖ","yː"
"v","v"
"w","v"
"x","ks"
"z","z"
"zs","ʒ"
"ž","ʒ"
"χ","χ"
"δ","δ"
"β","β"
"åå","ɒː"
"āā","aːː"
"ȧȧ","ɐɐ"
"ăă","ɐɐ"
"ää","ɛː"
"bb","bː"
"cc","t͡sː"
"čč","t͡ʃː"
"dd","dː"
"dzdz","d͡zː"
"dzsdzs","d͡ʒː"
"ee","ɛː"
"ëë","eː"
"ēē","eːː"
"ff","fː"
"gg","ɡː"
"dʹdʹ","ɟː"
"hh","hː"
"ii","iː"
"īī","iːː"
"ïï","ɯː"
"ǰǰ","d͡ʒʲː"
"yy","jː"
"kk","kː"
"ll","lː"
"lyly","jː"
"lʹlʹ","jː"
"mm","mː"
"nn","nː"
"ńń","ɲː"
"ŋŋ","ŋː"
"oo","oː"
"ōō","oːː"
"öö","øː"
"ȫȫ","øːː"
"pp","pː"
"ququ","kvː"
"rr","rː"
"šš","ʃː"
"szsz","sː"
"ss","sː"
"tt","tː"
"tyty","cː"
"uu","uː"
"u̯u̯","ww"
"ūū","uːː"
"üü","yː"
"ǖǖ","yːː"
"ü̯ü̯","ɥː"
"vv","vː"
"ww","vː"
"xx","ksː"
"zz","zː"
"zszs","ʒː"
"žž","ʒː"
"χχ","χː"
"δδ","δː"
"ββ","βː"
